absEta_0_1-highR9-Et_0_20	runNumber	1	2	1.0000	0.0000	0.0001	0.0015
absEta_0_1-highR9-Et_0_20	runNumber	254790	260627	1.0003	0.0001	0.0001	0.0015
absEta_0_1-highR9-Et_0_20	runNumber	3	254789	1.0003	0.0001	0.0001	0.0015
absEta_0_1-highR9-Et_100_1000000	runNumber	1	2	1.0000	0.0000	0.0001	0.0013
absEta_0_1-highR9-Et_100_1000000	runNumber	254790	260627	1.0003	0.0001	0.0001	0.0013
absEta_0_1-highR9-Et_100_1000000	runNumber	3	254789	1.0003	0.0001	0.0001	0.0013
absEta_0_1-highR9-Et_20_35	runNumber	1	2	1.0000	0.0000	0.0001	0.0015
absEta_0_1-highR9-Et_20_35	runNumber	254790	260627	1.0003	0.0001	0.0001	0.0015
absEta_0_1-highR9-Et_20_35	runNumber	3	254789	1.0003	0.0001	0.0001	0.0015
absEta_0_1-highR9-Et_35_43	runNumber	1	2	1.0000	0.0000	0.0001	0.0008
absEta_0_1-highR9-Et_35_43	runNumber	254790	260627	1.0003	0.0001	0.0001	0.0008
absEta_0_1-highR9-Et_35_43	runNumber	3	254789	1.0003	0.0001	0.0001	0.0008
absEta_0_1-highR9-Et_43_50	runNumber	1	2	1.0000	0.0000	0.0001	0.0004
absEta_0_1-highR9-Et_43_50	runNumber	254790	260627	1.0003	0.0001	0.0001	0.0004
absEta_0_1-highR9-Et_43_50	runNumber	3	254789	1.0003	0.0001	0.0001	0.0004
absEta_0_1-highR9-Et_50_55	runNumber	1	2	1.0000	0.0000	0.0001	0.0010
absEta_0_1-highR9-Et_50_55	runNumber	254790	260627	1.0003	0.0001	0.0001	0.0010
absEta_0_1-highR9-Et_50_55	runNumber	3	254789	1.0003	0.0001	0.0001	0.0010
absEta_0_1-highR9-Et_55_100	runNumber	1	2	1.0000	0.0000	0.0001	0.0013
absEta_0_1-highR9-Et_55_100	runNumber	254790	260627	1.0003	0.0001	0.0001	0.0013
absEta_0_1-highR9-Et_55_100	runNumber	3	254789	1.0003	0.0001	0.0001	0.0013
absEta_0_1-lowR9-Et_0_20	runNumber	1	2	1.0000	0.0000	0.0001	0.0013
absEta_0_1-lowR9-Et_0_20	runNumber	254790	260627	1.0039	0.0001	0.0001	0.0013
absEta_0_1-lowR9-Et_0_20	runNumber	3	254789	1.0039	0.0001	0.0001	0.0013
absEta_0_1-lowR9-Et_100_1000000	runNumber	1	2	1.0000	0.0000	0.0001	0.0020
absEta_0_1-lowR9-Et_100_1000000	runNumber	254790	260627	1.0039	0.0001	0.0001	0.0020
absEta_0_1-lowR9-Et_100_1000000	runNumber	3	254789	1.0039	0.0001	0.0001	0.0020
absEta_0_1-lowR9-Et_20_33	runNumber	1	2	1.0000	0.0000	0.0001	0.0013
absEta_0_1-lowR9-Et_20_33	runNumber	254790	260627	1.0039	0.0001	0.0001	0.0013
absEta_0_1-lowR9-Et_20_33	runNumber	3	254789	1.0039	0.0001	0.0001	0.0013
absEta_0_1-lowR9-Et_33_39	runNumber	1	2	1.0000	0.0000	0.0001	0.0007
absEta_0_1-lowR9-Et_33_39	runNumber	254790	260627	1.0039	0.0001	0.0001	0.0007
absEta_0_1-lowR9-Et_33_39	runNumber	3	254789	1.0039	0.0001	0.0001	0.0007
absEta_0_1-lowR9-Et_39_45	runNumber	1	2	1.0000	0.0000	0.0001	0.0005
absEta_0_1-lowR9-Et_39_45	runNumber	254790	260627	1.0039	0.0001	0.0001	0.0005
absEta_0_1-lowR9-Et_39_45	runNumber	3	254789	1.0039	0.0001	0.0001	0.0005
absEta_0_1-lowR9-Et_45_50	runNumber	1	2	1.0000	0.0000	0.0001	0.0010
absEta_0_1-lowR9-Et_45_50	runNumber	254790	260627	1.0039	0.0001	0.0001	0.0010
absEta_0_1-lowR9-Et_45_50	runNumber	3	254789	1.0039	0.0001	0.0001	0.0010
absEta_0_1-lowR9-Et_50_58	runNumber	1	2	1.0000	0.0000	0.0001	0.0014
absEta_0_1-lowR9-Et_50_58	runNumber	254790	260627	1.0039	0.0001	0.0001	0.0014
absEta_0_1-lowR9-Et_50_58	runNumber	3	254789	1.0039	0.0001	0.0001	0.0014
absEta_0_1-lowR9-Et_58_100	runNumber	1	2	1.0000	0.0000	0.0001	0.0020
absEta_0_1-lowR9-Et_58_100	runNumber	254790	260627	1.0039	0.0001	0.0001	0.0020
absEta_0_1-lowR9-Et_58_100	runNumber	3	254789	1.0039	0.0001	0.0001	0.0020
absEta_1_1.4442-highR9-Et_0_20	runNumber	1	2	1.0000	0.0000	0.0004	0.0006
absEta_1_1.4442-highR9-Et_0_20	runNumber	254790	260627	0.9925	0.0003	0.0004	0.0006
absEta_1_1.4442-highR9-Et_0_20	runNumber	3	254789	0.9925	0.0003	0.0004	0.0006
absEta_1_1.4442-highR9-Et_100_1000000	runNumber	1	2	1.0000	0.0000	0.0004	0.0009
absEta_1_1.4442-highR9-Et_100_1000000	runNumber	254790	260627	0.9925	0.0003	0.0004	0.0009
absEta_1_1.4442-highR9-Et_100_1000000	runNumber	3	254789	0.9925	0.0003	0.0004	0.0009
absEta_1_1.4442-highR9-Et_20_40	runNumber	1	2	1.0000	0.0000	0.0004	0.0006
absEta_1_1.4442-highR9-Et_20_40	runNumber	254790	260627	0.9925	0.0003	0.0004	0.0006
absEta_1_1.4442-highR9-Et_20_40	runNumber	3	254789	0.9925	0.0003	0.0004	0.0006
absEta_1_1.4442-highR9-Et_40_50	runNumber	1	2	1.0000	0.0000	0.0004	0.0009
absEta_1_1.4442-highR9-Et_40_50	runNumber	254790	260627	0.9925	0.0003	0.0004	0.0009
absEta_1_1.4442-highR9-Et_40_50	runNumber	3	254789	0.9925	0.0003	0.0004	0.0009
absEta_1_1.4442-highR9-Et_50_100	runNumber	1	2	1.0000	0.0000	0.0004	0.0009
absEta_1_1.4442-highR9-Et_50_100	runNumber	254790	260627	0.9925	0.0003	0.0004	0.0009
absEta_1_1.4442-highR9-Et_50_100	runNumber	3	254789	0.9925	0.0003	0.0004	0.0009
absEta_1_1.4442-lowR9-Et_0_20	runNumber	1	2	1.0000	0.0000	0.0001	0.0029
absEta_1_1.4442-lowR9-Et_0_20	runNumber	254790	260627	1.0023	0.0001	0.0001	0.0029
